 title;user;password;url
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 IamWrong;CauseImTooShort;;
 Zalando;ShoeBoy;ShoesForYous;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 Zalando;ShoeBoy;ShoesForYous;
 Leave;Firefly;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 Zalando;ShoeBoy;ShoesForYous;
 Badimporter;BadPassword;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 Zalando;ShoeBoy;ShoesForYous;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 Haha;youcantimportME;
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 Zalando;ShoeBoy;ShoesForYous;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 Zalando;ShoeBoy;ShoesForYous;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 Zalando;ShoeBoy;ShoesForYous;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 bank austria;banker;Bank1234!;https://bank.austria.at/login.jspx
 mcdonalds;mci;Schwechat69;http://m.c.i/food
 h&m;shoppingqueen;TankTop19!;http://hundm/shoppingqueen
 Facebook;meta;FacebookMeta;http://meta.com/
 GitHub;DanielBretschneider;Thisisnotmypassword;http://github.io
 W3Schools;Learner_bigleggy;Onetwothreefour;http://w3schools.com/python
 Zalando;ShoeBoy;ShoesForYous;
 BMI;geheimdienstchef;Secret007;http://bmi.gv.at/
 Shell;billigtanker;Etwasteuermomentan;http://shell.at
 Overleaf;LatexLover;LatexIsLive;https://overleaf.com
 test;;;
